costs,locs,techs,cost_om_annual_investment_fraction
monetary,NL11,battery,0.57
monetary,NL11,ccgt,3.3392
monetary,NL11,hvac_transmission:NL12,0.015
monetary,NL11,hvac_transmission:NL13,0.015
monetary,NL11,hydrogen_to_power,4.0
monetary,NL11,pv_farm,1.7275
monetary,NL11,pv_rooftop,1.2567
monetary,NL11,wind_offshore,2.3741
monetary,NL11,wind_onshore,1.2347
monetary,NL12,battery,0.57
monetary,NL12,ccgt,3.3392
monetary,NL12,hvac_transmission:NL11,0.015
monetary,NL12,hvac_transmission:NL23,0.015
monetary,NL12,hydrogen_to_power,4.0
monetary,NL12,pv_farm,1.7275
monetary,NL12,pv_rooftop,1.2567
monetary,NL12,wind_offshore,2.3741
monetary,NL12,wind_onshore,1.2347
monetary,NL13,battery,0.57
monetary,NL13,ccgt,3.3392
monetary,NL13,hvac_transmission:NL11,0.015
monetary,NL13,hvac_transmission:NL21,0.015
monetary,NL13,hydrogen_to_power,4.0
monetary,NL13,pv_farm,1.7275
monetary,NL13,pv_rooftop,1.2567
monetary,NL13,wind_onshore,1.2347
monetary,NL21,battery,0.57
monetary,NL21,ccgt,3.3392
monetary,NL21,hvac_transmission:NL13,0.015
monetary,NL21,hvac_transmission:NL22,0.015
monetary,NL21,hvac_transmission:NL23,0.015
monetary,NL21,hydrogen_to_power,4.0
monetary,NL21,pv_farm,1.7275
monetary,NL21,pv_rooftop,1.2567
monetary,NL21,wind_onshore,1.2347
monetary,NL22,battery,0.57
monetary,NL22,ccgt,3.3392
monetary,NL22,hvac_transmission:NL21,0.015
monetary,NL22,hvac_transmission:NL41,0.015
monetary,NL22,hydrogen_to_power,4.0
monetary,NL22,pv_farm,1.7275
monetary,NL22,pv_rooftop,1.2567
monetary,NL22,wind_onshore,1.2347
monetary,NL23,battery,0.57
monetary,NL23,ccgt,3.3392
monetary,NL23,hvac_transmission:NL12,0.015
monetary,NL23,hvac_transmission:NL21,0.015
monetary,NL23,hvac_transmission:NL32,0.015
monetary,NL23,hydrogen_to_power,4.0
monetary,NL23,pv_farm,1.7275
monetary,NL23,pv_rooftop,1.2567
monetary,NL23,wind_offshore,2.3741
monetary,NL23,wind_onshore,1.2347
monetary,NL31,battery,0.57
monetary,NL31,ccgt,3.3392
monetary,NL31,hvac_transmission:NL32,0.015
monetary,NL31,hvac_transmission:NL33,0.015
monetary,NL31,hydrogen_to_power,4.0
monetary,NL31,pv_farm,1.7275
monetary,NL31,pv_rooftop,1.2567
monetary,NL31,wind_onshore,1.2347
monetary,NL32,battery,0.57
monetary,NL32,ccgt,3.3392
monetary,NL32,hvac_transmission:NL23,0.015
monetary,NL32,hvac_transmission:NL31,0.015
monetary,NL32,hvac_transmission:NL33,0.015
monetary,NL32,hydrogen_to_power,4.0
monetary,NL32,pv_farm,1.7275
monetary,NL32,pv_rooftop,1.2567
monetary,NL32,wind_offshore,2.3741
monetary,NL32,wind_onshore,1.2347
monetary,NL33,battery,0.57
monetary,NL33,hvac_transmission:NL31,0.015
monetary,NL33,hvac_transmission:NL32,0.015
monetary,NL33,hvac_transmission:NL41,0.015
monetary,NL33,hydrogen_to_power,4.0
monetary,NL33,pv_farm,1.7275
monetary,NL33,pv_rooftop,1.2567
monetary,NL33,wind_offshore,2.3741
monetary,NL33,wind_onshore,1.2347
monetary,NL34,battery,0.57
monetary,NL34,ccgt,3.3392
monetary,NL34,hvac_transmission:NL41,0.015
monetary,NL34,hydrogen_to_power,4.0
monetary,NL34,pv_farm,1.7275
monetary,NL34,pv_rooftop,1.2567
monetary,NL34,wind_offshore,2.3741
monetary,NL34,wind_onshore,1.2347
monetary,NL41,battery,0.57
monetary,NL41,ccgt,3.3392
monetary,NL41,hvac_transmission:NL22,0.015
monetary,NL41,hvac_transmission:NL33,0.015
monetary,NL41,hvac_transmission:NL34,0.015
monetary,NL41,hvac_transmission:NL42,0.015
monetary,NL41,hydrogen_to_power,4.0
monetary,NL41,pv_farm,1.7275
monetary,NL41,pv_rooftop,1.2567
monetary,NL41,wind_onshore,1.2347
monetary,NL42,battery,0.57
monetary,NL42,ccgt,3.3392
monetary,NL42,hvac_transmission:NL41,0.015
monetary,NL42,hydrogen_to_power,4.0
monetary,NL42,pv_farm,1.7275
monetary,NL42,pv_rooftop,1.2567
monetary,NL42,wind_onshore,1.2347
