locs,techs,energy_cap_min
NL11,hvac_transmission:NL12,0.6882
NL11,hvac_transmission:NL13,3.0655
NL12,hvac_transmission:NL11,0.6882
NL12,hvac_transmission:NL23,0.6882
NL13,hvac_transmission:NL11,3.0655
NL13,hvac_transmission:NL21,3.0655
NL21,hvac_transmission:NL13,3.0655
NL21,hvac_transmission:NL22,2.3773
NL21,hvac_transmission:NL23,3.0655
NL22,hvac_transmission:NL21,2.3773
NL22,hvac_transmission:NL41,2.3773
NL23,hvac_transmission:NL12,0.6882
NL23,hvac_transmission:NL21,3.0655
NL23,hvac_transmission:NL32,3.3962
NL31,hvac_transmission:NL32,2.3773
NL31,hvac_transmission:NL33,0.2377
NL32,hvac_transmission:NL23,3.3962
NL32,hvac_transmission:NL31,2.3773
NL32,hvac_transmission:NL33,2.3773
NL33,hvac_transmission:NL31,0.2377
NL33,hvac_transmission:NL32,2.3773
NL33,hvac_transmission:NL41,2.3773
NL34,hvac_transmission:NL41,2.3773
NL41,hvac_transmission:NL22,2.3773
NL41,hvac_transmission:NL33,2.3773
NL41,hvac_transmission:NL34,2.3773
NL41,hvac_transmission:NL42,4.7547
NL42,hvac_transmission:NL41,4.7547
