locs,techs,energy_eff
NL11,battery,0.98
NL11,ccgt,0.57
NL11,hvac_transmission:NL12,0.96
NL11,hvac_transmission:NL13,0.96
NL11,hydrogen_to_power,0.542
NL12,battery,0.98
NL12,ccgt,0.57
NL12,hvac_transmission:NL11,0.96
NL12,hvac_transmission:NL23,0.96
NL12,hydrogen_to_power,0.542
NL13,battery,0.98
NL13,ccgt,0.57
NL13,hvac_transmission:NL11,0.96
NL13,hvac_transmission:NL21,0.96
NL13,hydrogen_to_power,0.542
NL21,battery,0.98
NL21,ccgt,0.57
NL21,hvac_transmission:NL13,0.96
NL21,hvac_transmission:NL22,0.96
NL21,hvac_transmission:NL23,0.96
NL21,hydrogen_to_power,0.542
NL22,battery,0.98
NL22,ccgt,0.57
NL22,hvac_transmission:NL21,0.96
NL22,hvac_transmission:NL41,0.96
NL22,hydrogen_to_power,0.542
NL23,battery,0.98
NL23,ccgt,0.57
NL23,hvac_transmission:NL12,0.96
NL23,hvac_transmission:NL21,0.96
NL23,hvac_transmission:NL32,0.96
NL23,hydrogen_to_power,0.542
NL31,battery,0.98
NL31,ccgt,0.57
NL31,hvac_transmission:NL32,0.96
NL31,hvac_transmission:NL33,0.96
NL31,hydrogen_to_power,0.542
NL32,battery,0.98
NL32,ccgt,0.57
NL32,hvac_transmission:NL23,0.96
NL32,hvac_transmission:NL31,0.96
NL32,hvac_transmission:NL33,0.96
NL32,hydrogen_to_power,0.542
NL33,battery,0.98
NL33,hvac_transmission:NL31,0.96
NL33,hvac_transmission:NL32,0.96
NL33,hvac_transmission:NL41,0.96
NL33,hydrogen_to_power,0.542
NL34,battery,0.98
NL34,ccgt,0.57
NL34,hvac_transmission:NL41,0.96
NL34,hydrogen_to_power,0.542
NL41,battery,0.98
NL41,ccgt,0.57
NL41,hvac_transmission:NL22,0.96
NL41,hvac_transmission:NL33,0.96
NL41,hvac_transmission:NL34,0.96
NL41,hvac_transmission:NL42,0.96
NL41,hydrogen_to_power,0.542
NL42,battery,0.98
NL42,ccgt,0.57
NL42,hvac_transmission:NL41,0.96
NL42,hydrogen_to_power,0.542
