locs,techs,energy_prod
NL11,battery,1.0
NL11,ccgt,1.0
NL11,hvac_transmission:NL12,1.0
NL11,hvac_transmission:NL13,1.0
NL11,hydrogen_to_power,1.0
NL11,lost_load,1.0
NL11,pv_farm,1.0
NL11,pv_rooftop,1.0
NL11,wind_offshore,1.0
NL11,wind_onshore,1.0
NL12,battery,1.0
NL12,ccgt,1.0
NL12,hvac_transmission:NL11,1.0
NL12,hvac_transmission:NL23,1.0
NL12,hydrogen_to_power,1.0
NL12,lost_load,1.0
NL12,pv_farm,1.0
NL12,pv_rooftop,1.0
NL12,wind_offshore,1.0
NL12,wind_onshore,1.0
NL13,battery,1.0
NL13,ccgt,1.0
NL13,hvac_transmission:NL11,1.0
NL13,hvac_transmission:NL21,1.0
NL13,hydrogen_to_power,1.0
NL13,lost_load,1.0
NL13,pv_farm,1.0
NL13,pv_rooftop,1.0
NL13,wind_onshore,1.0
NL21,battery,1.0
NL21,ccgt,1.0
NL21,hvac_transmission:NL13,1.0
NL21,hvac_transmission:NL22,1.0
NL21,hvac_transmission:NL23,1.0
NL21,hydrogen_to_power,1.0
NL21,lost_load,1.0
NL21,pv_farm,1.0
NL21,pv_rooftop,1.0
NL21,wind_onshore,1.0
NL22,battery,1.0
NL22,ccgt,1.0
NL22,hvac_transmission:NL21,1.0
NL22,hvac_transmission:NL41,1.0
NL22,hydrogen_to_power,1.0
NL22,lost_load,1.0
NL22,pv_farm,1.0
NL22,pv_rooftop,1.0
NL22,wind_onshore,1.0
NL23,battery,1.0
NL23,ccgt,1.0
NL23,hvac_transmission:NL12,1.0
NL23,hvac_transmission:NL21,1.0
NL23,hvac_transmission:NL32,1.0
NL23,hydrogen_to_power,1.0
NL23,lost_load,1.0
NL23,pv_farm,1.0
NL23,pv_rooftop,1.0
NL23,wind_offshore,1.0
NL23,wind_onshore,1.0
NL31,battery,1.0
NL31,ccgt,1.0
NL31,hvac_transmission:NL32,1.0
NL31,hvac_transmission:NL33,1.0
NL31,hydrogen_to_power,1.0
NL31,lost_load,1.0
NL31,pv_farm,1.0
NL31,pv_rooftop,1.0
NL31,wind_onshore,1.0
NL32,battery,1.0
NL32,ccgt,1.0
NL32,hvac_transmission:NL23,1.0
NL32,hvac_transmission:NL31,1.0
NL32,hvac_transmission:NL33,1.0
NL32,hydrogen_to_power,1.0
NL32,lost_load,1.0
NL32,pv_farm,1.0
NL32,pv_rooftop,1.0
NL32,wind_offshore,1.0
NL32,wind_onshore,1.0
NL33,battery,1.0
NL33,hvac_transmission:NL31,1.0
NL33,hvac_transmission:NL32,1.0
NL33,hvac_transmission:NL41,1.0
NL33,hydrogen_to_power,1.0
NL33,lost_load,1.0
NL33,pv_farm,1.0
NL33,pv_rooftop,1.0
NL33,wind_offshore,1.0
NL33,wind_onshore,1.0
NL34,battery,1.0
NL34,ccgt,1.0
NL34,hvac_transmission:NL41,1.0
NL34,hydrogen_to_power,1.0
NL34,lost_load,1.0
NL34,pv_farm,1.0
NL34,pv_rooftop,1.0
NL34,wind_offshore,1.0
NL34,wind_onshore,1.0
NL41,battery,1.0
NL41,ccgt,1.0
NL41,hvac_transmission:NL22,1.0
NL41,hvac_transmission:NL33,1.0
NL41,hvac_transmission:NL34,1.0
NL41,hvac_transmission:NL42,1.0
NL41,hydrogen_to_power,1.0
NL41,lost_load,1.0
NL41,pv_farm,1.0
NL41,pv_rooftop,1.0
NL41,wind_onshore,1.0
NL42,battery,1.0
NL42,ccgt,1.0
NL42,hvac_transmission:NL41,1.0
NL42,hydrogen_to_power,1.0
NL42,lost_load,1.0
NL42,pv_farm,1.0
NL42,pv_rooftop,1.0
NL42,wind_onshore,1.0
