coordinates,locs,loc_coordinates
lat,NL33,51.95356666666667
lat,NL34,51.4261
lat,NL11,53.151875
lat,NL32,52.36538333333333
lat,NL22,51.94764
lat,NL42,51.1524
lat,NL13,52.79966
lat,NL41,51.573025
lat,NL12,53.130320000000005
lat,NL23,52.60066666666666
lat,NL21,52.41295
lat,NL31,52.1608
lon,NL33,4.452383333333334
lon,NL34,4.2185
lon,NL11,6.8779375
lon,NL32,4.748033333333333
lon,NL22,6.012
lon,NL42,5.9052
lon,NL13,6.69054
lon,NL41,5.135325
lon,NL12,5.94212
lon,NL23,5.672633333333333
lon,NL21,6.442433333333334
lon,NL31,4.9873
