locs,techs,lookup_remotes
NL11,hvac_transmission:NL12,NL12::hvac_transmission:NL11
NL11,hvac_transmission:NL13,NL13::hvac_transmission:NL11
NL12,hvac_transmission:NL11,NL11::hvac_transmission:NL12
NL12,hvac_transmission:NL23,NL23::hvac_transmission:NL12
NL13,hvac_transmission:NL11,NL11::hvac_transmission:NL13
NL13,hvac_transmission:NL21,NL21::hvac_transmission:NL13
NL21,hvac_transmission:NL13,NL13::hvac_transmission:NL21
NL21,hvac_transmission:NL22,NL22::hvac_transmission:NL21
NL21,hvac_transmission:NL23,NL23::hvac_transmission:NL21
NL22,hvac_transmission:NL21,NL21::hvac_transmission:NL22
NL22,hvac_transmission:NL41,NL41::hvac_transmission:NL22
NL23,hvac_transmission:NL12,NL12::hvac_transmission:NL23
NL23,hvac_transmission:NL21,NL21::hvac_transmission:NL23
NL23,hvac_transmission:NL32,NL32::hvac_transmission:NL23
NL31,hvac_transmission:NL32,NL32::hvac_transmission:NL31
NL31,hvac_transmission:NL33,NL33::hvac_transmission:NL31
NL32,hvac_transmission:NL23,NL23::hvac_transmission:NL32
NL32,hvac_transmission:NL31,NL31::hvac_transmission:NL32
NL32,hvac_transmission:NL33,NL33::hvac_transmission:NL32
NL33,hvac_transmission:NL31,NL31::hvac_transmission:NL33
NL33,hvac_transmission:NL32,NL32::hvac_transmission:NL33
NL33,hvac_transmission:NL41,NL41::hvac_transmission:NL33
NL34,hvac_transmission:NL41,NL41::hvac_transmission:NL34
NL41,hvac_transmission:NL22,NL22::hvac_transmission:NL41
NL41,hvac_transmission:NL33,NL33::hvac_transmission:NL41
NL41,hvac_transmission:NL34,NL34::hvac_transmission:NL41
NL41,hvac_transmission:NL42,NL42::hvac_transmission:NL41
NL42,hvac_transmission:NL41,NL41::hvac_transmission:NL42
