locs,techs,storage_cap_max
NL11,battery,inf
NL11,hydrogen_to_power,inf
NL12,battery,inf
NL12,hydrogen_to_power,inf
NL13,battery,inf
NL13,hydrogen_to_power,inf
NL21,battery,inf
NL21,hydrogen_to_power,inf
NL22,battery,inf
NL22,hydrogen_to_power,inf
NL23,battery,inf
NL23,hydrogen_to_power,inf
NL31,battery,inf
NL31,hydrogen_to_power,inf
NL32,battery,inf
NL32,hydrogen_to_power,inf
NL33,battery,inf
NL33,hydrogen_to_power,inf
NL34,battery,inf
NL34,hydrogen_to_power,inf
NL41,battery,inf
NL41,hydrogen_to_power,inf
NL42,battery,inf
NL42,hydrogen_to_power,inf
