locs,techs,storage_initial
NL11,battery,0
NL11,hydrogen_to_power,0
NL12,battery,0
NL12,hydrogen_to_power,0
NL13,battery,0
NL13,hydrogen_to_power,0
NL21,battery,0
NL21,hydrogen_to_power,0
NL22,battery,0
NL22,hydrogen_to_power,0
NL23,battery,0
NL23,hydrogen_to_power,0
NL31,battery,0
NL31,hydrogen_to_power,0
NL32,battery,0
NL32,hydrogen_to_power,0
NL33,battery,0
NL33,hydrogen_to_power,0
NL34,battery,0
NL34,hydrogen_to_power,0
NL41,battery,0
NL41,hydrogen_to_power,0
NL42,battery,0
NL42,hydrogen_to_power,0
