costs,locs,techs,cost
monetary,NL11,battery,830.42394
monetary,NL11,ccgt,38056.037
monetary,NL11,curtailment,0.0
monetary,NL11,hvac_transmission:NL12,2.6034107
monetary,NL11,hvac_transmission:NL13,11.599674
monetary,NL11,hydrogen_to_power,0.0
monetary,NL11,lost_load,0.0
monetary,NL11,pv_farm,104.50999
monetary,NL11,pv_rooftop,0.0
monetary,NL11,wind_offshore,0.0
monetary,NL11,wind_onshore,17293.911
monetary,NL12,battery,9.2563133
monetary,NL12,ccgt,32951.342
monetary,NL12,curtailment,0.0
monetary,NL12,hvac_transmission:NL11,2.6034107
monetary,NL12,hvac_transmission:NL23,2.6034107
monetary,NL12,hydrogen_to_power,0.0
monetary,NL12,lost_load,0.0
monetary,NL12,pv_farm,1080.1482
monetary,NL12,pv_rooftop,0.0
monetary,NL12,wind_offshore,0.0
monetary,NL12,wind_onshore,12400.822
monetary,NL13,battery,0.0
monetary,NL13,ccgt,27808.915
monetary,NL13,curtailment,0.0
monetary,NL13,hvac_transmission:NL11,11.599674
monetary,NL13,hvac_transmission:NL21,11.599674
monetary,NL13,hydrogen_to_power,0.0
monetary,NL13,lost_load,0.0
monetary,NL13,pv_farm,798.72184
monetary,NL13,pv_rooftop,0.0
monetary,NL13,wind_onshore,7440.4065
monetary,NL21,battery,232.0362
monetary,NL21,ccgt,75950.177
monetary,NL21,curtailment,0.0
monetary,NL21,hvac_transmission:NL13,11.599674
monetary,NL21,hvac_transmission:NL22,8.9956576
monetary,NL21,hvac_transmission:NL23,11.599674
monetary,NL21,hydrogen_to_power,0.0
monetary,NL21,lost_load,0.0
monetary,NL21,pv_farm,11370.382
monetary,NL21,pv_rooftop,0.0
monetary,NL21,wind_onshore,17936.595
monetary,NL22,battery,5117.7422
monetary,NL22,ccgt,141767.68
monetary,NL22,curtailment,0.0
monetary,NL22,hvac_transmission:NL21,8.9956576
monetary,NL22,hvac_transmission:NL41,8.9956576
monetary,NL22,hydrogen_to_power,0.0
monetary,NL22,lost_load,0.0
monetary,NL22,pv_farm,12717.809
monetary,NL22,pv_rooftop,0.0
monetary,NL22,wind_onshore,34385.05
monetary,NL23,battery,0.0
monetary,NL23,ccgt,23383.758
monetary,NL23,curtailment,0.0
monetary,NL23,hvac_transmission:NL12,2.6034107
monetary,NL23,hvac_transmission:NL21,11.599674
monetary,NL23,hvac_transmission:NL32,12.851015
monetary,NL23,hydrogen_to_power,0.0
monetary,NL23,lost_load,0.0
monetary,NL23,pv_farm,808.42105
monetary,NL23,pv_rooftop,0.0
monetary,NL23,wind_offshore,0.0
monetary,NL23,wind_onshore,8282.8311
monetary,NL31,battery,0.0
monetary,NL31,ccgt,132188.39
monetary,NL31,curtailment,0.0
monetary,NL31,hvac_transmission:NL32,8.9956576
monetary,NL31,hvac_transmission:NL33,0.89951278
monetary,NL31,hydrogen_to_power,0.0
monetary,NL31,lost_load,0.0
monetary,NL31,pv_farm,11134.922
monetary,NL31,pv_rooftop,0.0
monetary,NL31,wind_onshore,32718.201
monetary,NL32,battery,5831.4947
monetary,NL32,ccgt,245719.59
monetary,NL32,curtailment,0.0
monetary,NL32,hvac_transmission:NL23,12.851015
monetary,NL32,hvac_transmission:NL31,8.9956576
monetary,NL32,hvac_transmission:NL33,8.9956576
monetary,NL32,hydrogen_to_power,0.0
monetary,NL32,lost_load,0.0
monetary,NL32,pv_farm,8501.4868
monetary,NL32,pv_rooftop,0.0
monetary,NL32,wind_offshore,0.0
monetary,NL32,wind_onshore,94938.724
monetary,NL33,battery,177821.28
monetary,NL33,curtailment,0.0
monetary,NL33,hvac_transmission:NL31,0.89951278
monetary,NL33,hvac_transmission:NL32,8.9956576
monetary,NL33,hvac_transmission:NL41,8.9956576
monetary,NL33,hydrogen_to_power,405931.21
monetary,NL33,lost_load,0.0
monetary,NL33,pv_farm,40312.342
monetary,NL33,pv_rooftop,86767.927
monetary,NL33,wind_offshore,173255.62
monetary,NL33,wind_onshore,115831.15
monetary,NL34,battery,323.68655
monetary,NL34,ccgt,22474.798
monetary,NL34,curtailment,0.0
monetary,NL34,hvac_transmission:NL41,8.9956576
monetary,NL34,hydrogen_to_power,0.0
monetary,NL34,lost_load,0.0
monetary,NL34,pv_farm,850.72718
monetary,NL34,pv_rooftop,0.0
monetary,NL34,wind_offshore,390.42059
monetary,NL34,wind_onshore,8908.5104
monetary,NL41,battery,2474.8343
monetary,NL41,ccgt,206115.58
monetary,NL41,curtailment,0.0
monetary,NL41,hvac_transmission:NL22,8.9956576
monetary,NL41,hvac_transmission:NL33,8.9956576
monetary,NL41,hvac_transmission:NL34,8.9956576
monetary,NL41,hvac_transmission:NL42,17.991315
monetary,NL41,hydrogen_to_power,0.0
monetary,NL41,lost_load,0.0
monetary,NL41,pv_farm,16770.345
monetary,NL41,pv_rooftop,0.0
monetary,NL41,wind_onshore,58001.027
monetary,NL42,battery,4308.077
monetary,NL42,ccgt,79219.884
monetary,NL42,curtailment,0.0
monetary,NL42,hvac_transmission:NL41,17.991315
monetary,NL42,hydrogen_to_power,0.0
monetary,NL42,lost_load,0.0
monetary,NL42,pv_farm,15208.164
monetary,NL42,pv_rooftop,0.0
monetary,NL42,wind_onshore,15107.351
