costs,locs,techs,cost_investment_rhs
monetary,NL11,battery,829.2115648846177
monetary,NL11,ccgt,16474.787735082384
monetary,NL11,hvac_transmission:NL12,2.6034106655808067
monetary,NL11,hvac_transmission:NL13,11.599673648369631
monetary,NL11,hydrogen_to_power,0.0
monetary,NL11,pv_farm,104.50998954085
monetary,NL11,pv_rooftop,0.0
monetary,NL11,wind_offshore,0.0
monetary,NL11,wind_onshore,17293.911366455806
monetary,NL12,battery,9.239059338537784
monetary,NL12,ccgt,13217.161796593424
monetary,NL12,hvac_transmission:NL11,2.6034106655808067
monetary,NL12,hvac_transmission:NL23,2.6034106655808067
monetary,NL12,hydrogen_to_power,0.0
monetary,NL12,pv_farm,1080.1482032205886
monetary,NL12,pv_rooftop,0.0
monetary,NL12,wind_offshore,0.0
monetary,NL12,wind_onshore,12400.822526614611
monetary,NL13,battery,0.0
monetary,NL13,ccgt,9495.868837079517
monetary,NL13,hvac_transmission:NL11,11.599673648369631
monetary,NL13,hvac_transmission:NL21,11.599673648369631
monetary,NL13,hydrogen_to_power,0.0
monetary,NL13,pv_farm,798.7218435554272
monetary,NL13,pv_rooftop,0.0
monetary,NL13,wind_onshore,7440.406596270057
monetary,NL21,battery,231.76239783025324
monetary,NL21,ccgt,25675.358834907103
monetary,NL21,hvac_transmission:NL13,11.599673648369631
monetary,NL21,hvac_transmission:NL22,8.995657556047606
monetary,NL21,hvac_transmission:NL23,11.599673648369631
monetary,NL21,hydrogen_to_power,0.0
monetary,NL21,pv_farm,11370.38237679957
monetary,NL21,pv_rooftop,0.0
monetary,NL21,wind_onshore,17936.59450672744
monetary,NL22,battery,5110.908616620441
monetary,NL22,ccgt,45679.549357501164
monetary,NL22,hvac_transmission:NL21,8.995657556047606
monetary,NL22,hvac_transmission:NL41,8.995657556047606
monetary,NL22,hydrogen_to_power,0.0
monetary,NL22,pv_farm,12717.809500713336
monetary,NL22,pv_rooftop,0.0
monetary,NL22,wind_onshore,34385.05056627523
monetary,NL23,battery,0.0
monetary,NL23,ccgt,8860.115711045106
monetary,NL23,hvac_transmission:NL12,2.6034106655808067
monetary,NL23,hvac_transmission:NL21,11.599673648369631
monetary,NL23,hvac_transmission:NL32,12.851015044124948
monetary,NL23,hydrogen_to_power,0.0
monetary,NL23,pv_farm,808.4210574864821
monetary,NL23,pv_rooftop,0.0
monetary,NL23,wind_offshore,0.0
monetary,NL23,wind_onshore,8282.831065176466
monetary,NL31,battery,0.0
monetary,NL31,ccgt,45088.68571937181
monetary,NL31,hvac_transmission:NL32,8.995657556047606
monetary,NL31,hvac_transmission:NL33,0.8995127807649043
monetary,NL31,hydrogen_to_power,0.0
monetary,NL31,pv_farm,11134.922342218808
monetary,NL31,pv_rooftop,0.0
monetary,NL31,wind_onshore,32718.20086329945
monetary,NL32,battery,5825.542099859707
monetary,NL32,ccgt,98876.38620215627
monetary,NL32,hvac_transmission:NL23,12.851015044124948
monetary,NL32,hvac_transmission:NL31,8.995657556047606
monetary,NL32,hvac_transmission:NL33,8.995657556047606
monetary,NL32,hydrogen_to_power,0.0
monetary,NL32,pv_farm,8501.486688326273
monetary,NL32,pv_rooftop,0.0
monetary,NL32,wind_offshore,0.0
monetary,NL32,wind_onshore,94938.72431818496
monetary,NL33,battery,177519.8540982273
monetary,NL33,hvac_transmission:NL31,0.8995127807649043
monetary,NL33,hvac_transmission:NL32,8.995657556047606
monetary,NL33,hvac_transmission:NL41,8.995657556047606
monetary,NL33,hydrogen_to_power,405931.21229861054
monetary,NL33,pv_farm,40312.34177600991
monetary,NL33,pv_rooftop,86767.92719334243
monetary,NL33,wind_offshore,173255.62410063535
monetary,NL33,wind_onshore,115831.1549953497
monetary,NL34,battery,323.2574249011912
monetary,NL34,ccgt,8399.875674141687
monetary,NL34,hvac_transmission:NL41,8.995657556047606
monetary,NL34,hydrogen_to_power,0.0
monetary,NL34,pv_farm,850.7271831869866
monetary,NL34,pv_rooftop,0.0
monetary,NL34,wind_offshore,390.42059915533855
monetary,NL34,wind_onshore,8908.510423557098
monetary,NL41,battery,2472.195591357538
monetary,NL41,ccgt,71037.1453234189
monetary,NL41,hvac_transmission:NL22,8.995657556047606
monetary,NL41,hvac_transmission:NL33,8.995657556047606
monetary,NL41,hvac_transmission:NL34,8.995657556047606
monetary,NL41,hvac_transmission:NL42,17.99131511209521
monetary,NL41,hydrogen_to_power,0.0
monetary,NL41,pv_farm,16770.345364706234
monetary,NL41,pv_rooftop,0.0
monetary,NL41,wind_onshore,58001.02614071491
monetary,NL42,battery,4301.760502420534
monetary,NL42,ccgt,24542.490602820708
monetary,NL42,hvac_transmission:NL41,17.99131511209521
monetary,NL42,hydrogen_to_power,0.0
monetary,NL42,pv_farm,15208.16375369344
monetary,NL42,pv_rooftop,0.0
monetary,NL42,wind_onshore,15107.35090057151
