carriers,costs,techs,systemwide_levelised_cost
electricity,monetary,battery,1.211591072164229
electricity,monetary,ccgt,0.280428338495979
electricity,monetary,hvac_transmission:NL11,0.0045307953415822605
electricity,monetary,hvac_transmission:NL12,0.0061165796374320685
electricity,monetary,hvac_transmission:NL13,0.011164428975316087
electricity,monetary,hvac_transmission:NL21,0.014066979920450088
electricity,monetary,hvac_transmission:NL22,0.018577863192788317
electricity,monetary,hvac_transmission:NL23,0.007033127943152825
electricity,monetary,hvac_transmission:NL31,0.008739373749346552
electricity,monetary,hvac_transmission:NL32,0.0029787222293200907
electricity,monetary,hvac_transmission:NL33,0.0029917316606676964
electricity,monetary,hvac_transmission:NL34,0.010829136946244513
electricity,monetary,hvac_transmission:NL41,0.004287755300217843
electricity,monetary,hvac_transmission:NL42,0.04781516227303843
electricity,monetary,hydrogen_to_power,2.9534488210608596
electricity,monetary,pv_farm,0.17371347672023557
electricity,monetary,pv_rooftop,0.18350571975424831
electricity,monetary,wind_offshore,0.1326212612823211
electricity,monetary,wind_onshore,0.10403734418092832
